timestamp_nanoseconds,power_watts,device_id
0,6.386,0
34916792,6.386,0
69095852,6.749,0
111534996,6.749,0
146582155,6.749,0
180293113,7.074,0
214121735,7.074,0
248358074,7.074,0
282458852,7.365,0
317781102,7.365,0
352835362,9.281,0
407509931,9.281,0
452588050,9.281,0
494211455,11.124,0
561325713,11.124,0
596106239,14.335,0
631329645,14.335,0
670950202,16.589,0
716385955,16.589,0
751528345,16.589,0
789767865,19.649,0
829251266,19.649,0
869769875,22.258,0
912407439,22.258,0
949708990,22.258,0
986360612,24.974,0
1022011595,24.974,0
1056856880,24.974,0
1092470733,27.139,0
1129100511,27.139,0
1169027700,29.196,0
1209051216,29.196,0
1250455914,29.196,0
1288799569,31.204,0
1328462108,31.204,0
1369286244,33.094,0
1408144661,33.094,0
1443556700,33.094,0
1480138624,34.827,0
1515091217,34.827,0
1553952371,34.827,0
1589947305,34.932,0
1630975118,34.932,0
1671416679,34.649,0
1711959652,34.649,0
1751055295,34.649,0
1791169350,35.152,0
1829990759,35.152,0
1869416681,34.895,0
1912713100,34.895,0
1949801182,34.895,0
1986423122,34.999,0
2021308375,34.999,0
2056386444,34.999,0
2093181498,34.993,0
2131500645,34.993,0
2170530009,34.635,0
2211276604,34.635,0
2250751871,34.635,0
2290501005,34.654,0
2330771966,34.654,0
2371335569,34.578,0
2411296487,34.578,0
2451035041,34.578,0
2490623947,34.614,0
2530523257,34.614,0
2570852572,34.543,0
2611410631,34.543,0
2650549896,34.543,0
2691033460,34.716,0
2729984794,34.716,0
2769472999,34.953,0
2810686843,34.953,0
2850772558,34.953,0
2890400215,34.964,0
2930358581,34.964,0
2972170880,34.828,0
3009470089,34.828,0
3049662721,34.828,0
3088946618,34.768,0
3127290223,34.768,0
3169182430,34.847,0
3209030099,34.847,0
3248400098,34.847,0
3290311031,34.97,0
3328530672,34.97,0
3367951407,35.055,0
3406417419,35.055,0
3441454126,35.055,0
3477838086,34.962,0
3515955220,34.962,0
3551228782,34.962,0
3588318563,34.857,0
3628108885,34.857,0
3669130880,34.899,0
3713017768,34.899,0
3752563422,34.899,0
3790739840,34.826,0
3830217820,34.826,0
3870179821,34.867,0
3910124654,34.867,0
3946276147,34.867,0
3981642133,34.952,0
4017116897,34.952,0
4052260528,34.952,0
4089991047,34.964,0
4129206203,34.964,0
4168748036,34.957,0
4207990437,34.957,0
4248120611,34.957,0
4287982645,34.806,0
4327944839,34.806,0
4368256909,34.964,0
4408921110,34.964,0
4450312297,34.964,0
4490248291,34.451,0
4530220105,34.451,0
4570245152,34.604,0
4609531554,34.604,0
4647772765,34.604,0
4688346630,34.901,0
4730223237,34.901,0
4770555060,34.889,0
4810075950,34.889,0
4849364477,34.889,0
4887651841,35.168,0
4927397958,35.168,0
4967709803,35.115,0
5010626498,35.115,0
5050208174,35.115,0
5088678891,34.753,0
5129463761,34.753,0
5169180564,34.52,0
5209743524,34.52,0
5250062838,34.52,0
5289517769,34.578,0
5330244270,34.578,0
5372518244,34.641,0
5410183243,34.641,0
5450365596,34.641,0
5489879435,34.53,0
5529934453,34.53,0
5569744730,34.877,0
5609404139,34.877,0
5647534591,34.877,0
5685400425,35.184,0
5727819854,35.184,0
5768078982,34.91,0
5808106491,34.91,0
5847168974,34.91,0
5887367260,35.095,0
5927540652,35.095,0
5967480732,34.847,0
6007672406,34.847,0
6047342643,34.847,0
6089712002,34.639,0
6129332714,34.639,0
6168808704,34.686,0
6208454965,34.686,0
6248782522,34.686,0
6287321761,34.472,0
6331441122,34.472,0
6366224106,34.019,0
